start_station_name,start_station_id,avg_lat,avg_lng,total_trips,member_trips,casual_trips,peak_departures,peak_net_outflow,peak_outflow_rate,total_rebalancing_needed,rebalancing_cost
Berkeley Pl & 7 Ave,4051.01,40.675146838709786,-73.97523209452629,27746,24786,2960,3292.0,-791.0,-0.24027946537059539,5403.0,11346.300000000001
Centre St & Chambers St,5207.01,40.71273266,-74.0046073,27742,19050,8692,3102.0,-2883.0,-0.9294003868471954,7175.0,15067.5
W 56 St & 8 Ave,6884.03,40.76595918165798,-73.98313522338867,27642,23688,3954,3760.0,57.0,0.015159574468085106,5496.0,11541.6
E 26 St & 3 Ave,6089.11,40.74069317733043,-73.98160636425018,27609,23877,3732,3495.0,1591.0,0.4552217453505007,6400.0,13440.0
E 24 St & Park Ave S,6131.1,40.74096374,-73.98602213,27546,24787,2759,3374.0,-4391.0,-1.3014226437462952,9334.0,19601.4
W 16 St & The High Line,6233.05,40.74334935,-74.00681753,27399,23013,4386,3800.0,-1961.0,-0.5160526315789473,7081.0,14870.1
E 33 St & 5 Ave,6322.01,40.74765947000001,-73.98490707,27152,23119,4033,2545.0,-2879.0,-1.131237721021611,7309.0,15348.900000000001
W 42 St & 8 Ave,6602.05,40.7575699,-73.99098507,27148,23275,3873,2491.0,247.0,0.09915696507426736,7527.0,15806.7
Broadway & Kent Ave,5134.09,40.710888,-73.968329,27072,21633,5439,3919.0,1853.0,0.472824700178617,5464.0,11474.4
Perry St & Bleecker St,5922.07,40.73535398,-74.00483091,27059,22601,4458,4590.0,2925.0,0.6372549019607843,7227.0,15176.7
Central Park W & W 91 St,7453.01,40.78866499127882,-73.96680057048798,26994,20746,6248,5765.0,2106.0,0.3653078924544666,6368.0,13372.800000000001
W 33 St & 10 Ave,6492.04,40.753773368360385,-73.99937599897385,26974,23412,3562,2279.0,-4965.0,-2.17858709960509,9060.0,19026.0
Graham Ave & Conselyea St,5291.05,40.715143,-73.944507,26880,23097,3783,2963.0,-1241.0,-0.41883226459669254,5524.0,11600.4
Bergen St & Vanderbilt Ave,4157.10,40.6794388,-73.9680438,26874,23231,3643,3841.0,531.0,0.13824524863316845,6047.0,12698.7
Madison Ave & E 26 St,6131.12,40.742684734875695,-73.98671329021454,26866,23438,3428,2404.0,-4800.0,-1.9966722129783694,8689.0,18246.9
Stanton St & Norfolk St,5445.07,40.720747,-73.986274,26850,21802,5048,3044.0,1483.0,0.4871879106438896,5827.0,12236.7
St Marks Pl & 2 Ave,5669.10,40.728418600000005,-73.98713956,26832,23227,3605,3522.0,1840.0,0.5224304372515616,10031.0,21065.100000000002
Central Park W & W 85 St,7354.01,40.78476,-73.969862,26829,20932,5897,4182.0,1765.0,0.4220468675274988,6123.0,12858.300000000001
E 4 St & 2 Ave,5593.04,40.7262807,-73.98978041,26683,23053,3630,3855.0,1962.0,0.5089494163424124,6773.0,14223.300000000001
Columbus Ave & W 95 St,7520.07,40.7919557,-73.968087,26608,23807,2801,4289.0,1571.0,0.3662858475169037,5814.0,12209.4
Allen St & Hester St,5343.10,40.71606,-73.99191,26580,22376,4204,3713.0,2104.0,0.5666576892001077,14473.0,30393.300000000003
